image_filename,label_id,x,y,w,h,confidence
200801213.jpg,3,321,351,63,50,0.99
200801213.jpg,3,5,488,77,46,0.99
200801213.jpg,5,443,312,183,268,0.99
200801213.jpg,5,58,206,108,93,0.99
200801213.jpg,5,138,191,109,93,0.99
200801213.jpg,5,345,115,100,124,0.99
200801216.jpg,5,271,152,40,40,0.99
200801221.jpg,6,36,85,78,72,0.99
200801221.jpg,8,236,104,83,60,0.99
20080123.jpg,2,195,415,141,195,0.99
20080123.jpg,4,530,30,205,168,0.99
20080123.jpg,5,262,170,282,344,0.99
200801241.jpg,3,149,55,128,144,0.99
200801241.jpg,5,-8,6,185,228,0.99
200801241.jpg,5,150,48,127,167,0.99
200803144.jpg,5,383,-2,351,419,0.99
200803144.jpg,6,157,520,111,75,0.99
200803144.jpg,6,49,510,215,88,0.99
200803144.jpg,6,58,518,120,78,0.99
200804281.jpg,5,188,6,20,21,0.99
200804303.jpg,13,-7,-23,297,262,0.99
2008043043.jpg,6,227,455,65,59,0.99
2008043043.jpg,6,198,468,93,54,0.99
2008043043.jpg,6,101,354,321,185,0.99
20080508.jpg,1,209,136,209,184,0.99
20080508.jpg,1,90,324,595,224,0.99
200805203.jpg,4,316,245,121,44,0.99
200805203.jpg,6,9,323,768,292,0.99
200805203.jpg,6,75,217,297,161,0.99
200805203.jpg,6,510,295,211,85,0.99
200805203.jpg,6,585,163,55,78,0.99
200805203.jpg,6,495,283,86,51,0.99
200805203.jpg,6,42,224,655,178,0.99
200805203.jpg,6,668,381,106,37,0.99
200805203.jpg,6,690,288,100,98,0.99
200805203.jpg,6,299,352,531,244,0.99
200805203.jpg,6,132,215,407,131,0.99
200805203.jpg,6,298,239,265,71,0.99
200805203.jpg,6,705,322,76,66,0.99
200805203.jpg,7,657,378,120,40,0.99
200805203.jpg,9,396,328,111,48,0.99
20080718.jpg,2,412,35,51,104,0.99
20080718.jpg,3,78,347,68,69,0.99
20080718.jpg,5,252,307,135,113,0.99
20080718.jpg,8,283,412,200,190,0.99
200807182.jpg,2,262,251,64,47,0.99
200807182.jpg,5,265,254,55,47,0.99
200807182.jpg,6,164,210,94,105,0.99
200807182.jpg,6,188,172,85,103,0.99
200807182.jpg,6,282,152,71,100,0.99
200807182.jpg,6,258,165,71,97,0.99
200807182.jpg,6,183,244,76,65,0.99
200807182.jpg,6,127,152,63,56,0.99
200807187.jpg,13,40,-11,647,373,0.99
20080725.jpg,6,328,358,113,148,0.99
2008072511.jpg,5,468,298,124,185,0.99
2008072511.jpg,6,232,468,90,52,0.99
2008072511.jpg,6,582,473,122,45,0.99
2008072511.jpg,7,419,541,120,50,0.99
200807253.jpg,3,415,108,192,227,0.99
200807253.jpg,5,477,304,232,227,0.99
200807253.jpg,6,60,286,325,304,0.99
200807253.jpg,6,271,3,365,331,0.99
200807253.jpg,6,8,192,356,321,0.99
200807253.jpg,6,399,392,95,65,0.99
200807253.jpg,6,150,46,482,506,0.99
200807254.jpg,4,134,311,146,72,0.99
200807256.jpg,3,623,287,73,68,0.99
200807256.jpg,7,617,285,91,79,0.99
200807256.jpg,13,-31,45,838,483,0.99
200807256.jpg,13,150,210,653,359,0.99
200807259.jpg,3,609,179,174,199,0.99
200807259.jpg,3,565,32,99,101,0.99
200807259.jpg,4,15,216,492,348,0.99
200807259.jpg,5,276,146,105,134,0.99
200807259.jpg,6,298,118,185,168,0.99
200807259.jpg,8,192,263,319,266,0.99
200807259.jpg,8,394,240,383,374,0.99
20080811.jpg,2,497,274,114,163,0.99
20080811.jpg,3,661,190,95,52,0.99
20080811.jpg,4,123,363,133,101,0.99
20080811.jpg,4,17,337,69,63,0.99
20080811.jpg,4,139,246,115,49,0.99
20080811.jpg,5,131,361,124,97,0.99
20080811.jpg,6,263,445,94,78,0.99
20080811.jpg,6,175,255,136,138,0.99
20080811.jpg,6,364,267,123,121,0.99
20080811.jpg,6,373,305,87,74,0.99
20080811.jpg,6,497,277,116,157,0.99
20080811.jpg,8,286,355,74,55,0.99
20080811.jpg,13,491,467,96,121,0.99
20080821.jpg,4,473,225,287,199,0.99
20080821.jpg,6,47,382,119,164,0.99
200808213.jpg,5,137,4,172,160,0.99
200808213.jpg,5,402,326,60,69,0.99
200808213.jpg,5,179,87,127,97,0.99
200808213.jpg,13,388,7,436,393,0.99
200808213.jpg,13,132,0,175,175,0.99
200808214.jpg,2,55,244,349,298,0.99
200808214.jpg,3,68,199,508,375,0.99
200808214.jpg,3,65,260,302,269,0.99
200808214.jpg,5,28,219,590,362,0.99
200808214.jpg,8,95,2,433,291,0.99
200808215.jpg,4,409,373,164,120,0.99
200808215.jpg,5,-16,127,795,468,0.99
200808218.jpg,3,383,307,79,107,0.99
200808218.jpg,5,385,303,77,117,0.99
2008082610.jpg,1,1,133,781,447,0.99
2008082610.jpg,4,22,157,736,407,0.99
200808263.jpg,2,185,356,77,66,0.99
200808263.jpg,2,258,313,100,95,0.99
200808263.jpg,3,538,416,76,47,0.99
200808263.jpg,3,433,462,73,51,0.99
200808263.jpg,3,11,445,93,76,0.99
200808263.jpg,4,284,251,127,100,0.99
200808263.jpg,5,315,389,107,170,0.99
200808263.jpg,5,188,358,73,60,0.99
200808263.jpg,5,228,400,82,121,0.99
200808263.jpg,5,535,414,81,49,0.99
200808263.jpg,5,343,368,103,167,0.99
200808263.jpg,6,288,245,129,97,0.99
200808263.jpg,6,82,454,157,116,0.99
200808263.jpg,7,258,333,97,70,0.99
200808264.jpg,4,13,308,184,209,0.99
200808264.jpg,4,467,82,59,68,0.99
200808264.jpg,4,15,88,115,57,0.99
